,título_original,genero,subgenero,colocação,título_brasileiro,distribuidora,renda,publico,salas_abertura,estreia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,0-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100
20,Woody Woodpecker,Animation,Comedy,31,Pica-Pau,Universal,21131000,1635280,728,2017-05-10,23,47,15,14,13,13,21,11,11,14,17,8,15,8,12,13,14,8,11,22,36,20,71,100,30,22,46,37,34,53,34,39,31,47,37,36,40,41,54,32,38,32,45,47,55,35,41,34,25,37,54,52,24,21,48,48,43,49,47,34,37,28,32,20,54,36,27,26,19,30,26,41,60,39,26,29,36,45,25,60,25,45,23,34,21,35,36,24,28,37,27,24,22,51,22,25,24,35,21,35,36,40,16,38,21,25,57,31,59,26,25,21,35,48,42,21,22,31,25,30,52,25,31,27,25,45,23,33,44,21,27,32,30,31,34,36,42,36,21,36,28,42,42,22,29,25,35,29,40,44,20,19,44,46,47,42,47,36,49,56,35,41,52,51,43,47,37,36,33,57,60,49,32,25,37,48,69,67,20,39,28,3,20,52,51,34,17,2,1,0,1
21,Rings,Horror,Placeholder,32,O chamado 3,Paramount,20936100,1528477,611,2017-02-02,2,1,2,1,2,2,0,2,1,1,1,2,2,1,1,1,1,1,13,7,5,8,9,3,3,5,1,2,3,4,2,2,2,2,2,2,3,2,1,2,1,2,3,3,2,2,2,1,1,1,2,3,2,1,1,1,2,1,1,1,1,2,2,4,2,1,2,2,2,2,1,1,2,2,1,2,2,2,4,2,0,2,1,1,2,2,3,2,3,1,1,3,1,1,2,1,1,2,3,2,0,2,0,1,4,3,3,2,1,1,1,1,3,2,1,2,2,1,2,2,4,1,0,1,4,2,1,2,2,3,1,1,0,2,2,1,1,1,1,3,2,1,1,1,2,2,5,2,1,1,4,1,6,25,79,58,45,33,25,21,28,24,35,24,20,14,14,22,47,56,36,49,36,32,32,41,50,46,50,77,100,152,4,7,6,7,2,0,2,0,1
22,Smurfs: The lost village,Adventure,Animation,33,Os Smurfs e a vila perdida,Sony,20854100,1468260,872,2017-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,4,0,5,0,6,0,0,0,0,4,0,0,3,0,3,0,4,0,0,0,0,0,4,0,6,0,0,0,0,4,0,0,5,3,3,0,6,0,3,8,0,4,0,4,7,3,0,3,0,0,4,0,3,0,0,0,0,4,4,4,3,3,8,0,0,4,5,0,0,3,3,5,7,2,3,5,5,11,7,11,3,7,8,5,11,11,11,5,5,7,5,6,9,23,13,22,12,19,52,59,58,19,26,31,46,81,100,53,35,31,38,34,95,75,40,25,17,20,9,26,44,68,79,14,19,15,17,18,42,15,11,7,6,9,22,15,0,6,7,4,7,32,13,7,6,9,10,8,13,15,4,3,5,11,10,4,12,131,24,6,7,3,4,1,2,1,2
23,The Lego Batman Movie,Action,Animation,34,Lego Batman,Warner,19787000,1343347,777,2017-09-02,46,45,38,37,54,83,100,37,48,40,30,42,69,76,32,33,36,28,33,64,48,24,24,22,26,25,52,52,22,25,30,25,22,33,47,18,30,24,39,29,45,46,29,24,29,27,52,41,46,24,19,21,25,26,48,48,43,21,24,16,24,45,41,29,14,10,12,19,32,27,16,16,15,16,26,49,68,28,18,17,23,29,52,47,28,21,24,28,27,58,51,37,24,23,19,28,51,39,30,27,25,43,36,48,57,24,29,19,28,24,45,29,22,31,30,29,29,39,40,31,28,28,19,26,31,34,31,23,28,20,24,26,36,31,31,24,31,24,31,40,27,26,24,23,24,25,34,23,18,16,16,25,37,35,16,22,14,24,17,35,22,25,12,18,22,19,28,31,19,13,15,14,18,20,25,17,17,16,14,18,31,1,36,76,33,20,9,3,1,1,1
24,"Parças, Os",Comedy,Placeholder,37,Os parças,DTF/Paris,17665200,1305252,334,2017-11-30,0,0,0,3,1,1,0,2,2,1,0,1,0,3,2,3,1,1,0,1,1,2,0,0,2,1,0,1,2,2,0,2,1,0,1,2,2,1,0,1,0,0,0,2,0,1,0,1,0,0,2,0,0,1,0,1,2,0,1,1,1,1,2,0,2,2,2,2,2,2,2,3,0,1,0,1,1,0,3,0,1,3,0,1,0,3,1,2,2,1,1,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,1,1,0,1,0,3,1,1,3,2,0,0,1,4,3,1,2,0,0,1,2,0,1,1,1,1,1,7,21,7,6,4,7,6,5,2,2,3,2,3,4,4,3,2,1,4,2,7,5,2,3,4,3,5,5,13,3,8,6,7,3,12,10,12,9,13,8,19,16,17,20,28,42,100,169,8,2,0,1,0,0,0,0,1
25,Blade runner 2049,Science Fiction,Action,38,Blade runner 2049,Sony,17090700,907145,723,2017-05-10,0,0,8,0,0,0,0,13,0,0,0,0,0,6,0,0,0,11,5,0,12,0,0,8,0,0,0,0,6,0,8,6,0,9,0,7,0,9,100,78,21,14,11,29,17,29,17,11,15,16,10,0,10,23,8,0,8,9,18,6,6,6,6,10,8,9,12,6,8,0,6,0,16,12,6,0,0,0,16,0,0,0,0,0,6,0,16,0,12,6,0,0,16,0,9,6,0,6,0,0,0,6,6,6,6,0,16,9,0,0,9,0,6,0,8,11,0,8,0,6,0,0,10,6,0,6,6,7,15,6,6,0,8,0,0,8,0,5,6,0,9,8,8,6,0,0,6,0,0,7,8,0,0,6,8,0,16,0,0,6,6,0,7,0,6,6,11,11,6,16,8,15,0,6,8,18,19,15,75,98,20,143,30,4,0,0,0,0,2,0,2
26,Murder on the Orient Express,Crime,Drama,39,Assassinato no Expresso do Oriente,Fox,16738300,1005730,362,2017-11-30,9,3,2,2,0,4,2,3,6,3,4,2,0,5,3,0,2,0,0,2,0,0,3,2,6,2,4,5,3,0,5,0,0,0,0,0,3,2,0,2,0,0,0,3,0,0,0,2,2,3,3,0,0,2,4,0,0,3,2,2,4,2,2,0,3,0,4,2,2,0,0,3,0,0,0,0,2,0,3,0,2,2,6,0,3,3,0,2,3,0,2,0,0,2,2,3,3,6,0,3,4,3,3,2,2,0,3,3,0,0,5,7,3,3,2,4,4,0,0,3,4,2,2,4,2,2,3,14,2,2,4,4,4,5,5,4,2,2,6,6,8,3,2,3,2,3,2,3,3,4,5,3,8,2,6,6,10,6,8,4,8,3,15,6,4,6,9,4,14,15,10,10,16,13,15,17,23,12,26,32,100,168,9,2,1,0,0,0,0,0,1
27,Detetives do prédio azul,Action,Adventure,41,Detetives do prédio azul,DTF/Paris,16085900,1219470,515,2017-07-20,11,10,2,7,12,12,11,11,15,14,5,14,3,3,17,23,8,4,6,5,6,15,17,11,5,6,4,4,11,10,9,7,3,7,7,10,10,4,7,8,8,4,8,8,8,4,7,7,10,7,10,5,4,10,4,13,3,8,4,4,2,4,9,12,4,4,8,7,3,7,15,5,4,7,4,6,5,6,13,3,3,2,3,7,9,4,3,3,4,4,3,9,3,3,5,3,2,5,6,7,14,5,6,2,4,11,6,7,4,5,3,4,3,4,6,4,2,7,3,6,6,4,4,4,4,8,11,10,7,5,3,9,7,13,4,4,4,5,6,2,9,4,4,6,4,4,7,4,9,4,11,4,8,2,9,9,4,7,5,11,12,9,5,6,2,9,9,8,15,14,18,13,27,56,57,69,100,42,41,35,24,143,28,3,1,2,2,1,0,0,1
28,Power Rangers,Action,Adventure,42,Power Rangers,Paris,15851000,1233619,841,2017-03-23,23,25,16,15,14,18,15,25,17,13,16,15,16,18,74,66,51,50,41,30,30,27,32,24,19,17,17,18,23,27,18,15,16,18,21,23,22,15,19,21,17,14,24,23,17,15,13,15,17,25,24,24,27,14,14,16,23,21,15,12,16,19,15,22,28,18,15,17,14,22,29,31,16,19,18,21,19,25,26,25,21,17,20,22,27,26,18,26,20,20,21,23,25,23,20,22,21,17,20,34,20,21,23,20,23,24,23,20,18,20,19,21,23,29,22,20,23,51,47,42,44,31,25,25,24,37,44,38,24,25,23,24,30,30,33,17,24,22,20,22,33,28,27,20,19,21,24,34,28,22,20,18,21,26,34,32,23,35,30,22,26,35,35,27,27,23,23,19,34,42,25,30,30,32,41,50,56,51,60,72,100,0,66,81,16,9,5,1,2,0,1
29,Split,Horror,Thriller,44,Fragmentado,Universal,15189800,1011384,615,2017-03-23,1,1,0,2,3,1,1,0,0,3,1,1,1,0,1,2,0,0,0,0,0,1,2,0,0,0,1,3,1,1,1,2,4,8,3,2,3,1,1,2,1,1,1,1,1,2,1,0,1,0,0,1,1,1,2,3,1,1,1,1,1,1,0,0,1,2,1,1,3,3,0,2,1,2,2,1,1,0,4,0,2,1,0,0,1,1,1,1,0,0,2,5,3,0,1,0,0,3,2,0,3,2,1,4,1,1,0,2,2,1,2,1,1,3,2,2,2,1,2,4,4,7,5,2,2,2,4,5,2,1,6,4,2,5,5,6,4,4,1,2,2,4,2,3,2,8,5,12,12,7,5,7,11,13,13,21,16,19,16,11,13,18,19,15,12,10,20,9,23,26,20,19,29,36,27,43,48,32,43,66,100,152,17,5,2,3,0,1,0,0,1
30,Dunkirk,War,Action,46,Dunkirk,Warner,14425100,794493,476,2017-07-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,2,1,2,1,2,1,1,0,0,1,1,3,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,3,3,2,0,1,2,1,1,1,1,1,0,1,1,2,2,0,1,0,1,1,1,3,2,1,1,0,5,9,8,6,1,3,1,3,4,1,1,1,2,1,1,2,1,1,1,2,1,0,1,5,1,1,1,1,8,3,3,9,1,2,8,1,8,4,1,1,1,3,2,1,3,1,1,1,1,1,2,2,6,3,2,2,4,3,4,2,2,2,4,4,7,6,21,11,11,12,11,8,7,13,18,18,22,22,24,33,24,31,38,100,165,7,5,3,0,0,0,0,0,1
31,Happy death day,Horror,Mystery,48,A morte te dá parabéns,Universal,13705800,1014940,557,2017-12-10,0,0,0,2,3,3,5,3,0,2,0,0,0,0,2,0,0,5,3,3,0,0,5,0,0,0,0,0,0,2,0,5,0,3,2,3,5,3,2,3,0,0,2,2,2,5,6,3,2,0,2,0,0,0,4,0,0,0,0,0,0,3,0,2,2,0,0,0,3,0,0,2,2,0,3,3,0,2,4,2,6,0,3,2,0,2,4,3,3,6,2,0,2,4,5,5,4,2,0,2,2,7,3,3,2,2,4,2,0,0,4,2,4,0,5,6,8,3,4,7,46,74,44,47,45,38,22,15,23,60,100,71,37,50,35,26,33,75,69,39,31,41,58,45,48,42,22,21,18,7,12,28,26,12,11,11,5,6,6,13,10,4,5,4,3,6,11,5,5,3,2,3,11,8,3,5,2,0,5,5,8,143,9,7,6,9,2,1,3,0,1
32,The Dark Tower,Action,Fantasy,49,A Torre Negra,Sony,12633900,906851,683,2017-08-24,2,8,2,2,0,0,2,4,2,5,1,0,2,5,0,3,1,2,0,3,2,4,6,4,10,19,4,2,4,3,0,3,5,0,2,2,2,2,2,0,2,5,2,2,2,2,2,5,0,5,4,2,2,3,2,2,2,0,4,3,2,2,5,3,5,2,6,38,65,49,37,25,5,7,5,7,6,5,6,5,6,3,3,3,7,0,3,3,0,3,2,6,2,0,2,2,3,2,2,3,5,5,4,3,2,5,6,0,2,4,4,6,8,7,3,4,2,5,2,2,7,4,5,9,8,2,0,4,4,9,2,4,2,5,8,6,6,9,8,6,4,11,7,3,5,5,7,9,8,4,7,6,5,7,4,6,6,6,6,4,13,13,21,21,16,12,16,10,17,37,13,9,15,18,20,22,26,30,36,56,100,155,12,6,4,1,1,1,0,0,1
33,Ghost in the Shell,Action,Science Fiction,50,A Vigilante do Amanhã: Ghost in the shell,Paramount,12220900,736002,768,2017-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,50,52,0,0,48,48,0,100,175,0,0,0,4,1,0,0,0,1
34,Alien: Covenant,Horror,Science Fiction,51,Alien: Covenant,Fox,9602300,667624,849,2017-11-05,36,50,67,76,93,100,65,39,43,24,42,47,66,34,31,21,28,29,40,54,24,19,15,17,17,21,34,14,17,17,16,14,21,24,10,10,15,27,14,22,35,16,17,10,15,13,26,27,16,11,7,6,19,22,35,24,21,16,14,16,30,31,19,19,13,12,15,18,30,17,14,14,15,12,23,26,19,11,20,13,11,22,27,12,13,17,19,28,45,65,24,16,15,13,16,31,43,19,16,12,13,13,26,35,13,8,11,11,10,19,31,9,6,5,8,6,16,25,9,5,8,15,10,18,13,10,6,5,7,4,9,20,7,7,6,5,8,7,13,7,2,5,5,3,13,9,5,6,1,5,5,7,10,5,3,3,9,6,5,14,7,7,6,4,4,10,9,6,3,3,3,2,8,7,3,4,1,9,4,4,9,68,62,25,12,6,1,4,1,0,2
35,Baby Driver,Action,Crime,53,Em ritmo de fuga,Sony,9015990,590987,402,2017-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,17,3,0,0,3,4,1,1,1,0,0,2,0,0,0,1,0,2,0,0,0,1,1,0,2,0,0,1,0,1,0,2,0,0,3,1,0,0,2,2,1,0,2,0,1,0,2,0,0,1,1,0,3,2,0,1,0,0,1,2,2,1,0,0,0,1,2,2,1,1,1,1,0,2,2,1,1,1,1,9,4,3,2,1,3,0,2,0,0,0,3,1,2,5,0,2,1,4,4,3,2,2,4,5,5,6,8,8,14,10,6,1,5,6,7,10,10,4,6,6,9,21,49,28,9,12,18,29,25,72,58,31,27,43,100,165,5,5,1,2,1,0,1,0,1
36,American made,Action,Crime,54,Feito na América,Universal,8985670,554772,534,2017-09-14,0,0,9,0,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,5,0,0,0,0,0,5,0,5,6,0,7,8,19,5,5,0,7,0,5,0,0,12,6,7,7,0,0,0,0,0,0,0,5,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,7,0,4,5,0,0,0,0,5,0,5,0,0,0,6,5,0,5,0,0,0,0,5,5,5,5,5,7,7,8,5,0,13,6,0,0,10,8,19,100,176,4,0,0,0,0,0,0,0,1
37,Meus 15 anos,Drama,Comedy,55,Meus 15 anos,DTF/Paris,8966650,739726,590,2017-06-22,0,2,3,0,3,2,1,0,0,1,2,6,7,4,10,4,12,6,9,8,5,7,4,5,4,7,2,3,9,5,3,3,4,7,8,6,8,5,5,2,7,6,6,4,3,3,6,5,6,7,7,3,3,1,3,5,4,6,3,2,4,2,1,4,2,1,2,4,4,2,6,1,2,2,1,3,2,3,4,2,1,3,2,3,2,5,4,2,3,0,1,3,3,2,1,3,2,3,1,1,9,16,6,11,6,6,10,5,5,3,7,5,3,4,3,3,2,3,2,5,8,6,2,1,4,2,4,3,5,4,4,4,3,5,4,2,3,3,4,5,6,4,3,2,5,4,6,6,9,7,14,14,9,16,16,15,6,12,13,15,16,14,30,17,14,15,15,14,29,30,25,43,43,100,81,70,66,50,42,44,62,149,18,4,0,5,0,3,0,1,1
38,Collateral beauty,Drama,Romance,56,Beleza oculta,Warner,8904940,512613,271,2017-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,21,13,7,9,1,1,4,2,0,3,1,3,0,2,4,4,0,1,1,1,1,2,0,1,1,1,4,3,2,4,0,1,3,1,1,0,2,3,1,0,0,3,0,2,3,1,0,1,0,2,2,0,0,3,1,0,0,2,0,0,1,3,4,10,15,11,8,4,5,3,3,5,3,1,2,1,3,0,3,3,1,1,1,3,3,5,1,1,5,1,3,2,9,3,3,3,1,7,6,6,4,4,1,2,3,4,0,4,1,6,6,4,0,10,10,10,8,4,5,7,13,5,11,9,10,13,11,10,9,9,16,20,12,31,34,35,43,64,100,162,11,2,3,1,0,1,0,0,1
39,The Circle,Drama,Thriller,60,O circulo,Imagem,8317840,475257,413,2017-06-22,3,6,8,16,5,12,5,5,11,6,11,10,8,22,13,18,8,14,11,10,10,19,13,13,5,11,7,8,10,11,9,14,12,11,8,14,20,12,12,11,16,9,6,16,11,13,16,17,9,13,18,21,19,12,16,11,10,13,12,24,21,19,10,17,10,16,18,17,17,19,7,23,13,19,17,22,13,15,18,23,51,48,28,27,22,17,20,16,27,23,21,16,14,21,19,19,23,17,10,25,24,18,15,27,12,15,11,18,15,18,32,26,13,17,22,21,23,20,23,20,25,23,27,23,20,16,23,24,23,21,24,17,19,19,29,18,15,13,24,17,14,25,18,15,23,24,21,16,24,20,19,20,32,17,26,19,19,16,22,14,18,16,24,20,22,18,15,17,24,26,20,26,18,45,58,48,77,50,37,54,100,26,97,46,3,4,3,0,1,0,1
40,"Tio quase perfeito, Um",Comedy,Placeholder,63,Um tio quase perfeito,H2O Films,7995480,579232,311,2017-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,4,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,4,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,3,0,2,2,0,0,0,0,0,0,0,4,3,2,0,0,2,2,2,0,2,2,0,2,3,6,0,2,2,2,3,8,13,6,6,9,100,179,1,0,0,0,0,0,0,0,1
41,Valerian and the city of a thousand planets,Adventure,Science Fiction,64,Valerian e a cidade dos mil planetas,Diamond Films,7825960,509391,833,2017-10-08,1,0,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,2,2,0,0,0,0,0,0,2,0,0,1,0,0,2,2,0,0,0,0,0,0,2,2,0,3,3,0,0,2,0,1,0,3,2,0,0,1,3,0,1,2,0,2,1,0,1,0,2,0,3,0,1,1,0,2,0,3,1,1,2,2,2,0,0,0,8,2,2,2,3,2,3,2,3,3,3,2,3,0,3,2,2,4,2,4,2,4,2,4,3,5,4,5,3,4,4,8,4,14,15,10,10,34,39,58,62,37,23,27,41,46,89,100,41,25,25,14,15,53,50,20,21,16,6,4,19,16,13,8,8,10,3,12,10,4,4,7,6,5,11,10,3,5,8,4,6,12,10,4,4,3,6,6,9,13,6,4,6,5,6,8,18,150,14,5,3,4,2,1,0,1,1
42,The mountain between us,Romance,Adventure,65,Depois daquela montanha,Fox,7752210,443258,247,2017-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,43,0,0,0,39,0,0,0,0,0,0,0,0,55,42,0,0,0,42,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,43,45,0,57,43,43,0,0,0,58,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,80,0,39,0,0,0,0,0,0,0,44,0,56,0,41,41,0,0,48,0,0,45,0,0,0,53,68,78,0,0,0,100,0,0,79,0,0,0,0,0,0,0,0,43,0,0,44,57,0,41,81,0,40,44,0,0,40,0,0,40,0,0,0,39,0,0,0,42,0,0,0,40,0,0,0,0,142,0,0,7,20,6,1,3,1,1
43,Ballerina,Animation,Adventure,67,A bailarina,Paris,7617960,546984,463,2017-01-26,18,14,14,13,9,15,9,11,11,14,14,11,11,15,4,8,14,7,9,7,19,20,20,8,13,16,15,19,21,28,15,18,10,23,18,13,20,16,13,18,12,11,21,14,20,18,20,8,13,13,19,18,16,14,18,13,18,34,16,17,11,17,12,13,8,18,13,15,14,19,10,7,13,10,10,13,15,17,19,13,10,6,18,15,11,20,15,12,11,12,10,8,23,17,18,19,14,17,11,15,10,11,11,24,11,22,18,12,6,11,5,18,26,17,12,15,17,10,11,15,13,20,14,16,15,14,14,17,15,17,14,19,8,12,15,17,12,19,7,11,18,33,28,15,13,21,5,15,13,13,18,9,11,7,7,15,16,15,13,12,10,15,39,15,15,11,18,11,15,77,33,26,25,35,55,70,81,72,65,74,100,30,126,12,5,0,1,2,3,1,1
44,A dog's purpose,Comedy,Drama,68,Quatro vidas de um cachorro,Universal,6870970,513291,419,2017-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,66,78,40,27,10,9,8,9,6,4,5,3,7,2,4,3,3,3,2,1,2,1,6,3,4,4,1,0,3,0,3,2,2,1,0,5,1,2,4,1,3,2,1,3,2,3,2,3,0,1,1,3,2,1,0,1,3,1,3,4,3,5,0,1,0,2,3,2,3,5,1,3,2,3,8,2,3,2,1,3,2,3,5,1,3,4,2,7,2,1,5,1,3,7,9,2,6,4,9,4,3,3,4,3,4,3,6,6,7,6,6,4,5,6,4,4,6,4,7,8,8,2,7,14,19,25,13,15,9,22,23,18,31,14,11,20,23,16,17,15,100,89,87,56,27,28,38,71,153,11,7,3,0,1,1,2,2,1
45,Eu fico loko,Comedy,Placeholder,69,Eu fico loko,DTF/Paris,6818450,556352,618,2017-12-01,56,35,22,30,28,35,58,58,56,47,31,90,82,95,100,60,50,47,49,47,53,85,41,39,38,40,43,38,41,35,33,25,32,40,39,53,41,37,28,26,28,33,33,21,30,47,32,37,19,42,50,32,29,43,34,63,32,36,30,11,20,24,31,34,26,14,17,6,15,38,21,18,17,17,11,8,22,31,11,11,11,23,10,15,17,15,15,11,11,12,10,21,26,19,18,34,11,28,28,10,15,15,15,16,27,12,8,22,12,25,24,22,20,21,15,9,17,14,17,20,6,19,7,11,8,23,21,25,15,14,18,13,22,31,17,11,11,15,23,12,14,9,15,13,11,12,15,22,9,22,4,17,8,21,31,7,9,11,9,0,16,10,16,13,22,13,6,28,12,6,9,22,22,29,23,33,23,14,4,15,6,24,61,41,29,13,7,1,0,3,2
46,Como se tornar o pior aluno da escola,Comedy,Placeholder,70,Como se tornar o pior aluno da escola,DTF/Paris,6794380,501862,356,2017-12-10,0,1,1,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,2,1,2,0,2,3,2,1,1,2,0,1,0,2,0,3,2,2,2,3,2,3,1,1,1,2,1,2,1,2,1,1,1,1,1,0,2,1,1,0,0,2,3,0,0,1,0,3,1,0,0,2,2,1,2,1,3,3,2,2,2,1,2,2,3,3,2,2,3,9,4,4,6,9,12,12,92,86,93,100,56,39,31,19,24,46,45,24,27,14,12,14,35,32,15,8,15,23,19,25,20,10,11,11,10,9,18,19,7,10,10,6,7,12,15,8,5,6,2,5,14,19,10,3,7,6,8,7,13,7,3,3,5,10,17,23,144,20,6,4,2,1,0,0,1,3
47,allied,Action,Drama,71,Aliados,Paramount,6621390,394964,269,2017-02-16,20,26,24,31,26,20,19,14,28,26,21,26,26,26,21,18,30,20,28,36,32,30,18,36,29,33,26,34,12,22,33,46,44,35,29,46,20,29,12,30,21,34,31,24,36,13,37,31,27,14,31,12,28,29,19,17,29,35,16,21,21,21,16,20,33,18,23,29,23,7,12,28,33,22,20,24,16,19,18,18,16,31,25,26,8,14,21,39,18,19,26,15,19,24,25,19,23,16,13,27,24,10,23,13,25,28,21,23,24,10,20,14,22,27,23,13,21,18,25,24,13,22,19,20,10,18,19,11,12,18,19,19,14,21,17,33,27,17,27,24,26,26,12,18,22,13,12,20,21,16,24,22,32,18,27,20,18,28,30,28,19,29,30,31,33,34,29,33,42,62,44,21,26,27,38,45,42,39,45,62,100,5,62,76,27,8,0,2,0,0,1
48,Hidden figures,Drama,History,72,Estrelas além do tempo,Fox,6612580,399373,271,2017-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,4,4,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,12,4,4,5,12,6,0,4,0,0,0,7,0,5,0,10,0,0,7,0,5,0,0,5,6,6,6,8,6,4,8,0,14,26,12,12,7,12,6,11,11,14,57,40,25,21,27,33,36,23,31,100,160,10,5,4,0,1,0,0,0,1
49,Divórcio,Comedy,Placeholder,73,Divórcio,Warner,6584550,497713,577,2017-09-21,61,52,92,72,82,64,64,52,20,100,63,95,92,81,22,52,96,64,51,58,35,68,43,91,90,66,71,43,32,43,81,77,68,97,51,42,44,48,80,62,75,46,35,41,73,78,97,77,55,41,45,72,85,77,53,69,34,49,75,61,43,49,64,33,25,99,44,66,53,49,32,41,75,65,73,60,70,58,19,36,71,48,34,36,16,41,50,97,86,60,67,59,34,61,67,64,84,48,34,29,66,75,49,75,61,36,49,56,70,57,64,71,29,46,84,73,52,42,71,54,20,73,78,60,81,82,52,56,51,64,84,47,66,36,34,69,61,55,56,80,21,36,78,53,64,84,47,37,37,62,48,89,70,66,35,23,79,58,98,76,89,39,43,92,86,68,57,76,42,66,85,77,62,52,76,46,59,93,70,95,89,0,4,6,19,30,28,35,28,17,14
50,Daddy's home 2,Comedy,Placeholder,74,Pai em dose dupla 2,Paramount,6198120,450655,470,2017-11-23,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,4,0,0,0,7,6,11,4,3,3,3,3,3,0,0,0,3,6,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,0,0,3,0,4,4,0,3,0,0,0,11,4,0,2,0,0,0,4,0,3,0,0,3,3,0,0,5,3,3,0,9,0,0,0,0,3,0,0,0,0,0,0,3,0,6,4,4,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,5,3,6,9,29,3,8,8,11,6,3,13,3,3,3,0,3,3,3,0,3,3,4,7,7,5,4,4,0,3,7,5,7,6,10,9,15,38,54,72,14,18,47,11,48,70,100,55,21,27,46,161,8,3,1,3,2,1,1,0,1
